Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Kyrgyz Republic,KGZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.882678682,1.454422566,1.615087079,1.696728798,1.683306778,1.614401811,1.665639507,1.713569023,1.752024087,1.697389571
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.55853659,68.70731707,68.15609756,68.25609756,68.15365854,67.95609756,67.69512195,70.40243902,70.65121951,70.95121951
Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.49613953,45.26670837,46.29999924,48,53.54230881,57.20000076,57.04105759,83.13404083,89.69999695,90.54953003
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.166285112,0.180772276,0.197192309,0.202395297,0.209981785,0.2148106,0.276259028,0.649260983,1.307698847,2.278533289
Lao PDR,LAO,Forest area (% of land area),AG.LND.FRST.ZS,75.4982669,75.28834489,75.07842288,74.86850087,74.65857886,74.44865685,74.23873484,72.80112652,72.65164645,72.50216638
Lao PDR,LAO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1720,1830,1950,2030,2230,2470,2630,5570,5850,6510
Lao PDR,LAO,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,31.2,29.5,26.9,24.1,22.4,20.6,8,6.7,5.9
Lao PDR,LAO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,35.48,36.81,40.88,40.23,42.11,44.57,46.14,89.86,104.54,105.6
Lao PDR,LAO,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3
Lao PDR,LAO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.4,4.209,4.037,3.911,3.808,3.673,3.597,2.802,2.766,2.722
Lao PDR,LAO,"School enrollment, primary (% net)",SE.PRM.NENR,75.85907,75.377,76.5676,79.17625,79.84852,81.105,82.62215,96.5434,94.89325,94.00376
Lao PDR,LAO,"School enrollment, secondary (% net)",SE.SEC.NENR,27.41947,28.96552,29.97322,33.31071,34.94459,35.19979,34.41882,52.32234,55.82319,58.73341
